pH,Temp,Spc Cond,Dis. Oxy
8.1,19.3,296,15
8.2,19.7,294,15.9
8.3,20,293,16.4
8.3,20.4,293,16.9
8.4,20.8,291,17.3
8.5,21.2,290,17.7
8.5,21.6,288,18.2
8.6,22,288,18.3
8.6,22.3,286,18.6
8.7,22.7,284,18.8
8.7,23.1,283,19.1
8.8,23.4,281,19.3
8.8,23.7,281,19.7
8.8,24,279,20.1
8.9,24.2,278,20
8.9,24.5,277,20
8.9,24.8,275,19.9
9,25.2,275,20
9,25.4,274,20.2
9,25.6,273,20
9,26,273,20
9.1,26.2,271,20.1
9.1,26.4,270,19.7
9.1,26.6,270,20.1
9.1,26.7,269,20
9.1,26.7,267,20.1
9.1,26.9,268,20.1
9.1,27,267,19.9
9.1,27.1,267,19.9
9.2,27.1,266,20
9.2,27.1,266,20.1
9.2,27.2,265,19.7
9.2,27.1,264,19.3
9.2,27,264,19
9.2,26.9,264,18.7
9.2,26.8,265,18.4
9.1,26.7,264,18.1
9.1,26.6,263,18
9.1,26.3,264,17.5
9.1,26.1,264,17.3
9.1,26,263,16.9
9.1,25.8,264,16.7
9.1,25.7,263,16.6
9.1,25.5,265,16.2
9,25.2,264,15.9
9,25,265,15.6
9,24.8,267,15.2
9,24.6,267,14.8
8.9,24.3,268,14.4
8.9,24,269,13.9
8.9,23.8,270,13.4
8.8,23.6,272,12.9
8.8,23.4,274,12.4
8.7,23.1,276,11.6
8.6,22.8,279,10.8
8.6,22.5,282,10.2
8.5,22.3,283,9.5
8.5,22,286,9
8.4,21.8,289,8.4
8.3,21.6,290,7.9
8.2,21.4,292,7.4
8.2,21.2,295,7.1
8.1,21.1,296,6.7
8,20.9,298,6.4
7.9,20.8,300,6.1
7.8,20.6,301,5.7
7.7,20.5,303,5.4
7.7,20.4,305,5
7.6,20.3,306,4.7
7.5,20.2,308,4.4
7.4,20.1,309,4.1
7.4,20,309,3.8
7.3,19.9,311,3.5
7.3,19.8,311,3.4
7.3,19.7,312,3.2
